State,District,2.delta7.vaccinated1,2.delta7.vaccinated2,population,2.total.vaccinated1,2.total.vaccinated2,2.delta.vaccinated2,2.delta.vaccinated1,2.delta21_14.confirmed,2.delta7.confirmed,2.delta7.recovered,2.total.confirmed,2.total.deceased,2.total.recovered,2.delta.confirmed,2.delta.recovered,2.meta.tested.date,totaltested,2.delta.deceased,2.delta7.deceased,2.total.other,2.delta.tested,2.delta7.tested,2.meta.vaccinated.date,2.delta7.other,2.delta.other,TestingRatio,"TestingRatio Category"
AN,Nicobars,62,811,36842,25394,20313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AN,"North and Middle Andaman",90,1839,105597,78945,59522,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AN,"South Andaman",732,8012,238142,189662,120322,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AN,Unknown,0,0,0,0,0,0,0,9,3,5,7651,129,7518,0,0,0,0,0,0,0,0,0,0,0,0,NULL,"Very Low"
AP,Anantapur,92803,140903,4083315,2690082,1611476,5370,4575,50,38,58,157843,1093,156699,4,5,"26-11-2020 00:00",787085,0,0,0,0,0,0,0,0,0.1928,"Category B"
AP,Chittoor,63824,119541,4170468,2832987,1807873,1306,878,631,516,629,246935,1947,244144,64,87,"26-11-2020 00:00",780322,1,6,0,0,0,0,0,0,0.1871,"Category B"
AP,"East Godavari",36973,223236,5151549,3532220,1990578,237,41,401,604,520,293836,1290,291610,87,121,"26-11-2020 00:00",944746,0,0,0,0,0,0,0,0,0.1834,"Category B"
AP,"Foreign Evacuees",0,0,0,0,0,0,0,0,0,0,434,0,434,0,0,0,0,0,0,0,0,0,0,0,0,NULL,"Very Low"
AP,Guntur,285377,156818,4889230,3440118,1891773,1248,1119,509,272,619,178068,1237,176629,33,198,"26-11-2020 00:00",833823,0,4,0,0,0,0,0,0,0.1705,"Category B"
AP,Krishna,75352,230788,4529009,2971604,1914927,337,51,405,422,467,119348,1430,117130,46,71,"26-11-2020 00:00",782232,1,9,0,0,0,0,0,0,0.1727,"Category B"
AP,Kurnool,178620,73119,4046601,2672759,1290419,1538,4716,31,25,26,124142,853,123264,6,3,"26-11-2020 00:00",867361,0,0,0,0,0,0,0,0,0.2143,"Category B"
AP,"Other State",0,0,0,0,0,0,0,0,0,0,2461,0,2461,0,0,0,0,0,0,0,0,0,0,0,0,NULL,"Very Low"
AP,Prakasam,137338,130213,3392764,2321031,1521177,5872,3292,243,103,290,138482,1124,136989,6,37,"26-11-2020 00:00",697340,0,3,0,0,0,0,0,0,0.2055,"Category B"
AP,"S.P.S. Nellore",96973,114393,2966082,2143402,1403240,1639,2724,283,155,235,146388,1053,144919,34,23,"26-11-2020 00:00",682964,1,2,0,0,0,0,0,0,0.2303,"Category B"
AP,Srikakulam,18883,129575,2699471,1630248,974734,6,2,47,132,72,123109,786,122136,19,20,"26-11-2020 00:00",670899,0,0,0,0,0,0,0,0,0.2485,"Category B"
AP,Visakhapatnam,65301,207340,4288113,2999432,1864960,2311,1309,273,237,227,157737,1127,156492,27,30,"26-11-2020 00:00",744983,0,1,0,0,0,0,0,0,0.1737,"Category B"
AP,Vizianagaram,44847,123576,2342868,1393491,996097,1855,601,30,53,38,82967,672,82231,7,11,"26-11-2020 00:00",531433,1,1,0,0,0,0,0,0,0.2268,"Category B"
AP,"West Godavari",61021,146562,3934782,2525317,1778807,1884,878,171,234,246,179077,1117,177680,40,44,"26-11-2020 00:00",793098,0,4,0,0,0,0,0,0,0.2016,"Category B"
AP,"Y.S.R. Kadapa",65843,90958,2884524,1824032,1328711,1101,1005,146,82,163,115623,644,114904,12,25,"26-11-2020 00:00",671761,0,0,0,0,0,0,0,0,0.2329,"Category B"
AR,Anjaw,45,452,21089,11695,7957,0,0,0,0,0,1068,3,1065,0,0,"28-01-2021 00:00",2845,0,0,0,0,0,0,0,0,0.1349,"Category B"
AR,"Capital Complex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24-12-2020 00:00",115210,0,0,0,0,0,0,0,0,NULL,"Very Low"
AR,Changlang,298,3803,147951,88857,55361,0,0,0,3,3,3807,22,3780,0,1,"28-01-2021 00:00",23861,0,0,0,0,0,0,0,0,0.1613,"Category B"
AR,"East Kameng",76,409,78413,22931,15646,1,0,0,0,0,1094,0,1094,0,0,"28-01-2021 00:00",7489,0,0,0,0,0,0,0,0,0.0955,"Category A"
AR,"East Siang",365,2013,99019,54001,39434,0,0,2,9,10,3206,17,3183,0,5,"28-01-2021 00:00",21867,0,0,0,0,0,0,0,0,0.2208,"Category B"
AR,Kamle,36,185,22256,6946,3874,0,0,0,0,0,512,0,512,0,0,"28-01-2021 00:00",1385,0,0,0,0,0,0,0,0,0.0622,"Category A"
AR,"Kra Daadi",5,23,0,6275,3272,0,0,0,0,0,270,0,270,0,0,"28-01-2021 00:00",3218,0,0,0,0,0,0,0,0,NULL,"Very Low"
AR,"Kurung Kumey",27,255,89717,9121,5601,0,0,0,0,0,511,1,510,0,0,"28-01-2021 00:00",4201,0,0,0,0,0,0,0,0,0.0468,"Very Low"
AR,"Lepa Rada",40,307,0,13328,10176,54,6,0,0,1,874,3,871,0,0,"28-01-2021 00:00",6747,0,0,0,0,0,0,0,0,NULL,"Very Low"
AR,Lohit,221,1494,145538,31120,22003,0,0,2,9,3,2885,26,2851,0,0,"28-01-2021 00:00",14945,0,0,0,0,0,0,0,0,0.1027,"Category B"
AR,Longding,46,356,60000,19259,7826,0,0,0,1,0,752,2,749,0,0,"28-01-2021 00:00",10342,0,0,0,0,0,0,0,0,0.1724,"Category B"
AR,"Lower Dibang Valley",171,931,53986,32639,22089,1,19,6,14,3,2426,11,2397,0,0,"28-01-2021 00:00",12169,0,0,0,0,0,0,0,0,0.2254,"Category B"
AR,"Lower Siang",37,317,80597,16565,9990,0,0,0,0,0,738,8,730,0,0,"28-01-2021 00:00",7070,0,0,0,0,0,0,0,0,0.0877,"Category A"
AR,"Lower Subansiri",85,767,82839,26916,18827,36,2,7,5,2,3036,15,3015,0,0,"28-01-2021 00:00",10564,0,0,0,0,0,0,0,0,0.1275,"Category B"
AR,Namsai,209,2436,95950,63539,47104,0,0,8,4,16,2124,17,2102,0,0,"28-01-2021 00:00",19987,0,0,0,0,0,0,0,0,0.2083,"Category B"
AR,"Pakke Kessang",25,262,0,8004,4998,14,0,1,0,0,453,0,453,0,0,"28-01-2021 00:00",3327,0,0,0,0,0,0,0,0,NULL,"Very Low"
AR,"Papum Pare",1055,3799,176385,141168,100258,0,0,22,7,12,18316,98,18212,1,1,"28-01-2021 00:00",41960,0,0,0,0,0,0,0,0,0.2379,"Category B"
AR,"Shi Yomi",2,153,13310,6910,5663,0,0,3,1,10,262,0,261,0,0,"28-01-2021 00:00",2169,0,0,0,0,0,0,0,0,0.1630,"Category B"
AR,Siang,40,197,31920,14408,9068,0,0,0,0,0,411,3,408,0,0,"28-01-2021 00:00",4270,0,0,0,0,0,0,0,0,0.1338,"Category B"
AR,Tawang,91,759,49950,29553,23287,0,0,12,12,8,2577,20,2533,0,0,"28-01-2021 00:00",14224,0,0,0,0,0,0,0,0,0.2848,"Category B"
AR,Tirap,35,631,111997,31565,21200,0,0,0,0,2,1109,5,1102,0,0,"28-01-2021 00:00",14657,0,0,0,0,0,0,0,0,0.1309,"Category B"
AR,"Upper Dibang Valley",3,11,7948,4156,2603,0,0,1,0,1,337,2,335,0,0,"28-01-2021 00:00",1910,0,0,0,0,0,0,0,0,0.2403,"Category B"
AR,"Upper Siang",38,411,35289,18594,13671,0,0,2,0,2,1016,1,1015,0,0,"28-01-2021 00:00",6564,0,0,0,0,0,0,0,0,0.1860,"Category B"
AR,"Upper Subansiri",93,1122,83205,24842,16390,0,0,0,0,0,1958,6,1952,0,0,"28-01-2021 00:00",6217,0,0,0,0,0,0,0,0,0.0747,"Category A"
AR,"West Kameng",206,1914,87013,55710,40321,89,15,17,1,21,3545,14,3518,0,7,"28-01-2021 00:00",28155,0,0,0,0,0,0,0,0,0.3236,"Category C"
AR,"West Siang",63,640,112272,33773,27867,0,0,4,0,3,1868,6,1856,0,-5,"28-01-2021 00:00",13192,0,0,0,0,0,0,0,0,0.1175,"Category B"
AS,Baksa,2992,15169,953773,553967,136574,172,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Barpeta,10495,48544,1693190,1095048,448006,1035,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Biswanath,5661,35727,612491,456088,213437,1655,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Bongaigaon,2784,18356,732639,493242,183782,1287,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Cachar,26826,21591,1736319,1101266,402535,966,2149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Charaideo,1853,16868,0,309125,111219,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,"Very Low"
AS,Chirang,2488,9573,481818,288696,102397,89,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Darrang,17453,21800,908090,596783,183724,270,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Dhemaji,3423,15318,688077,431792,184251,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Dhubri,12450,25644,1948632,945264,229696,1906,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Dibrugarh,8869,38695,1327748,914640,430800,4007,699,0,0,0,0,0,0,0,0,"01-02-2021 00:00",301657,0,0,0,0,0,0,0,0,0.2272,"Category B"
AS,"Dima Hasao",2532,3737,213529,116318,62593,59,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Goalpara,4013,30725,1008959,662016,195521,81,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Golaghat,6525,51417,1058674,711564,306745,2676,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Hailakandi,1724,11247,659260,422295,146888,705,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Hojai,6217,36724,931218,602504,274035,2979,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Jorhat,3383,39677,1091295,649267,297724,2154,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Kamrup,10451,45828,1517202,1079092,409628,253,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,"Kamrup Metropolitan",6625,38155,1260419,1246239,875897,1713,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,"Karbi Anglong",13744,12778,965280,284600,102798,280,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Karimganj,5088,20659,1217002,681216,203575,1382,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Kokrajhar,3935,19711,886999,538901,156488,823,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Lakhimpur,5870,42164,1040644,681386,301369,1555,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Majuli,1524,7176,167304,117599,82507,166,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Morigaon,5298,27861,957853,592446,212146,482,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Nagaon,16396,36734,2826006,1203831,448081,1481,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Nalbari,6785,25411,769919,483076,168392,1492,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Sivasagar,1946,23104,1150253,478954,223921,714,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Sonitpur,8341,48290,1925975,767841,434213,2664,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,"South Salmara Mankachar",1978,15304,555114,239906,76599,1288,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Tinsukia,45002,22410,1316948,795057,286170,1679,6637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
AS,Udalguri,17371,19343,832769,504439,133919,1396,1935,0,0,0,0,0,0,0,0,"16-09-2020 00:00",24661,0,0,0,0,0,0,0,0,0.0296,"Very Low"
AS,Unknown,0,0,0,0,0,0,0,1499,2056,2215,610645,5997,600974,212,236,0,0,1,24,1347,0,0,0,0,0,NULL,"Very Low"
AS,"West Karbi Anglong",4593,4186,300320,127612,42942,147,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
BR,Araria,51331,69085,2806200,1177154,395227,3067,5177,0,2,0,14978,116,14859,0,0,"03-10-2020 00:00",219221,0,0,0,0,0,0,0,0,0.0781,"Category A"
BR,Arwal,4059,17125,700843,345175,116424,1360,262,0,0,0,7381,74,7307,0,0,"31-01-2021 00:00",101624,0,0,0,0,0,0,0,0,0.1450,"Category B"
BR,Aurangabad,25561,56431,2511243,1132482,407913,2657,1264,0,0,0,20011,75,19936,0,0,"31-01-2021 00:00",412007,0,0,0,0,0,0,0,0,0.1641,"Category B"
BR,Banka,24239,34077,2029339,935177,351254,3138,2635,0,0,0,7379,112,7267,0,0,"31-01-2021 00:00",364776,0,0,0,0,0,0,0,0,0.1798,"Category B"
BR,Begusarai,33903,65735,2954367,1430906,480982,2774,1906,8,2,7,27212,457,26754,0,1,"26-09-2020 00:00",213670,0,0,0,0,0,0,0,0,0.0723,"Category A"
BR,Bhagalpur,49875,78088,3032226,1494951,650332,3458,2122,1,1,1,25840,309,25531,0,1,"31-01-2021 00:00",582113,0,0,0,0,0,0,0,0,0.1920,"Category B"
BR,Bhojpur,31626,53006,2720155,1291186,382719,4879,3232,0,0,0,10210,159,10051,0,0,"31-01-2021 00:00",466438,0,0,0,0,0,0,0,0,0.1715,"Category B"
BR,Buxar,14794,38792,1707643,907374,322555,2516,1083,0,0,0,9248,182,9066,0,0,"31-01-2021 00:00",461428,0,0,0,0,0,0,0,0,0.2702,"Category B"
BR,Darbhanga,39165,82276,3921971,1869372,741553,5306,2858,0,0,1,10937,370,10567,0,0,"11-01-2021 00:00",448442,0,0,0,0,0,0,0,0,0.1143,"Category B"
BR,"East Champaran",29316,84760,5082868,2498559,1002939,8014,2434,1,2,0,19017,430,18585,0,0,"03-11-2020 00:00",548132,0,0,0,0,0,0,0,0,0.1078,"Category B"
BR,Gaya,72504,82490,4379383,1925234,722746,1689,1708,1,0,1,33952,280,33672,0,0,"31-01-2021 00:00",872359,0,0,0,0,0,0,0,0,0.1992,"Category B"
BR,Gopalganj,31750,70093,2558037,1286763,481968,8468,5308,0,0,1,16685,94,16591,0,0,"31-01-2021 00:00",562654,0,0,0,0,0,0,0,0,0.2200,"Category B"
BR,Jamui,24440,24005,1756078,800488,222093,1416,1435,0,0,1,9418,106,9312,0,0,"31-01-2021 00:00",342005,0,0,0,0,0,0,0,0,0.1948,"Category B"
BR,Jehanabad,12986,27200,1124176,498448,184446,1617,498,0,0,0,10783,109,10674,0,0,"31-01-2021 00:00",492255,0,0,0,0,0,0,0,0,0.4379,"Category C"
BR,Kaimur,19996,28681,1626900,801438,225437,2183,1067,0,0,0,4984,147,4837,0,0,"31-01-2021 00:00",442332,0,0,0,0,0,0,0,0,0.2719,"Category B"
BR,Katihar,53448,75733,3068149,1451838,403046,2966,2680,0,0,1,18145,94,18051,0,0,"31-01-2021 00:00",556438,0,0,0,0,0,0,0,0,0.1814,"Category B"
BR,Khagaria,15402,32372,1657599,775019,222012,2118,881,0,0,0,10064,88,9976,0,0,"04-10-2020 00:00",148340,0,0,0,0,0,0,0,0,0.0895,"Category A"
BR,Kishanganj,24597,25592,1690948,757066,205274,1445,1997,0,4,2,10128,66,10057,3,1,"31-01-2021 00:00",294321,0,0,0,0,0,0,0,0,0.1741,"Category B"
BR,Lakhisarai,8894,16437,1000717,461970,138407,1005,595,0,0,0,7776,102,7674,0,0,"31-01-2021 00:00",332434,0,0,0,0,0,0,0,0,0.3322,"Category C"
BR,Madhepura,28832,43563,1994618,965767,260408,4459,2700,1,1,0,12547,111,12435,0,0,"31-01-2021 00:00",455482,0,0,0,0,0,0,0,0,0.2284,"Category B"
BR,Madhubani,28535,69785,4476044,1974159,680214,6686,2735,0,3,0,18365,339,18023,2,0,"31-01-2021 00:00",715168,0,0,0,0,0,0,0,0,0.1598,"Category B"
BR,Munger,7445,33005,1359054,707588,264665,2867,851,1,0,1,15111,158,14953,0,0,"31-01-2021 00:00",325212,0,0,0,0,0,0,0,0,0.2393,"Category B"
BR,Muzaffarpur,40686,80513,4778610,2253919,717015,7023,3545,0,0,1,31398,621,30777,0,0,"31-01-2021 00:00",722651,0,0,0,0,0,0,0,0,0.1512,"Category B"
BR,Nalanda,36716,66091,2872523,1393762,638181,1826,2168,0,0,0,23432,468,22964,0,0,"31-01-2021 00:00",591346,0,0,0,0,0,0,0,0,0.2059,"Category B"
BR,Nawada,46619,35295,2216653,1062349,274319,4338,4176,0,1,0,10353,178,10174,0,0,"16-11-2020 00:00",322514,0,0,0,0,0,0,0,0,0.1455,"Category B"
BR,Patna,35436,159875,5772804,3421614,2366474,2024,737,14,14,8,147007,2334,144651,2,3,"31-01-2021 00:00",676238,0,0,0,0,0,0,0,0,0.1171,"Category B"
BR,Purnia,61212,74531,3273127,1603099,729224,1959,2821,0,0,0,24427,180,24247,0,0,"05-01-2021 00:00",568756,0,0,0,0,0,0,0,0,0.1738,"Category B"
BR,Rohtas,40918,59698,2962593,1498172,465660,4149,4911,0,2,0,13980,271,13707,0,0,"31-01-2021 00:00",521553,0,0,0,0,0,0,0,0,0.1760,"Category B"
BR,Saharsa,106392,80718,1897102,995618,366567,18126,28493,0,0,0,17616,134,17482,0,0,"31-01-2021 00:00",356327,0,0,0,0,0,0,0,0,0.1878,"Category B"
BR,Samastipur,48167,64119,4254782,1991102,555728,5157,3216,1,2,2,20020,155,19864,1,1,"31-01-2021 00:00",614569,0,0,0,0,0,0,0,0,0.1444,"Category B"
BR,Saran,41734,82407,3943098,1868014,736766,6693,4149,0,5,2,23278,255,23020,0,2,"31-01-2021 00:00",761473,0,0,0,0,0,0,0,0,0.1931,"Category B"
BR,Sheikhpura,4942,10739,634927,287209,95322,788,345,0,0,0,7693,75,7618,0,0,"31-01-2021 00:00",142348,0,0,0,0,0,0,0,0,0.2242,"Category B"
BR,Sheohar,2946,7111,656916,300967,108766,1629,666,0,0,2,4404,36,4368,0,0,"16-11-2020 00:00",199431,0,0,0,0,0,0,0,0,0.3036,"Category C"
BR,Sitamarhi,43474,60677,3419622,1511464,424182,5476,3873,1,0,0,9185,127,9058,0,0,"31-01-2021 00:00",453227,0,0,0,0,0,0,0,0,0.1325,"Category B"
BR,Siwan,18385,69069,3318176,1670590,684755,4030,1163,0,0,0,15195,170,15025,0,0,"31-01-2021 00:00",536438,0,0,0,0,0,0,0,0,0.1617,"Category B"
BR,Supaul,35486,71754,2228397,1069993,369925,5131,3029,1,0,0,17222,129,17093,0,0,"31-01-2021 00:00",456511,0,0,0,0,0,0,0,0,0.2049,"Category B"
BR,Vaishali,45426,59038,3495021,1671469,478638,2621,1522,0,1,0,19827,192,19632,0,0,"31-01-2021 00:00",275884,0,0,1,0,0,0,0,0,0.0789,"Category A"
BR,"West Champaran",42709,52019,3935042,1784016,469332,6316,7525,0,0,0,20890,358,20532,0,0,"31-01-2021 00:00",551778,0,0,0,0,0,0,0,0,0.1402,"Category B"
CT,Balod,5983,9451,826165,537459,271570,762,523,3,2,1,27278,396,26880,0,0,"14-06-2020 00:00",2749,0,0,0,0,0,0,0,0,0.0033,"Very Low"
CT,"Baloda Bazar",25353,17419,1305343,617777,211945,605,953,1,0,3,43085,471,42611,0,1,"14-06-2020 00:00",3816,0,0,0,0,0,0,0,0,0.0029,"Very Low"
CT,Balrampur,21912,17709,598855,305554,112777,725,1654,0,0,0,20302,118,20182,0,0,"20-09-2020 00:00",21481,0,0,0,0,0,0,0,0,0.0359,"Very Low"
CT,Bametara,14367,7690,197035,405388,132925,25,25,1,1,0,19963,236,19726,1,0,"14-06-2020 00:00",3113,0,0,0,0,0,0,0,0,0.0158,"Very Low"
CT,Bastar,10696,9616,1302253,443759,178775,129,82,0,24,2,21066,188,20845,2,2,"23-05-2020 00:00",4522,0,0,0,0,0,0,0,0,0.0035,"Very Low"
CT,Bijapur,1251,913,229832,103247,44245,56,47,6,5,3,8324,55,8263,3,1,"14-06-2020 00:00",1239,0,0,0,0,0,0,0,0,0.0054,"Very Low"
CT,Bilaspur,18318,50320,1961922,1031494,525066,9113,2404,12,17,8,65681,1210,64448,1,3,"14-06-2020 00:00",9823,0,2,0,0,0,0,0,0,0.0050,"Very Low"
CT,"Dakshin Bastar Dantewada",2225,5410,533638,158243,80855,1299,143,4,6,2,10840,25,10809,1,0,"14-06-2020 00:00",1168,0,0,0,0,0,0,0,0,0.0022,"Very Low"
