state_code,district_code,district_name,confirmed_cases,deceased_cases,recovered_cases,active_cases,population,delta_confirmed,delta_deceased,delta_recovered,delta_confirmed_7,delta_deceased_7,delta_recovered_7
JK,Kulgam,,11489,117,11367,5,422786,1,0,2,2,0,5
JK,Kupwara,,14463,166,14268,29,875564,5,0,4,25,0,25
JK,Pulwama,,15512,194,15309,9,570060,4,0,0,5,0,5
JK,Punch,,6482,98,6371,13,476820,0,0,0,7,0,14
JK,Rajouri,,11272,237,11031,4,619266,0,0,0,4,0,7
JK,Ramban,,6043,67,5971,5,283313,1,0,0,3,0,0
JK,Reasi,,6626,43,6575,8,314714,0,0,2,4,0,10
JK,Samba,,7152,120,7032,0,318611,0,0,0,0,0,2
JK,Shopiyan,,5607,58,5549,0,265960,0,0,0,0,0,0
JK,Srinagar,,75539,846,74242,451,1269751,49,0,45,305,2,274
JK,Udhampur,,11415,137,11275,3,555357,0,0,0,4,0,2
KA,Bagalkote,,35178,333,34843,2,1890826,0,0,0,0,0,0
KA,Ballari,,97763,1689,95961,113,2532383,0,0,2,9,0,14
KA,Belagavi,,79900,938,78879,83,4778439,6,0,1,20,1,21
KA,Bengaluru Rural,,62005,890,61073,42,987257,3,0,3,23,2,27
KA,Bengaluru Urban,,1251872,16281,1229059,6532,9588910,137,7,204,1165,37,1093
KA,Bidar,,24340,400,23936,4,1700018,0,0,0,0,0,5
KA,Chamarajanagara,,33001,500,32469,32,1020962,0,0,4,6,0,15
KA,Chikkaballapura,,43951,429,43501,21,1254377,2,1,0,11,3,8
KA,Chikkamagaluru,,51126,395,50662,69,1137753,3,0,4,28,0,93
KA,Chitradurga,,36666,206,36412,48,1660378,3,0,3,17,0,12
KA,Dakshina Kannada,,115478,1680,113515,283,2083625,24,0,20,192,9,193
KA,Davanagere,,50989,608,50359,22,1946905,2,0,1,10,1,11
KA,Dharwad,,60970,1315,59639,16,1846993,0,1,3,4,3,10
KA,Gadag,,26066,319,25747,0,1065235,0,0,0,0,0,0
KA,Hassan,,111785,1256,110294,235,1776221,26,0,28,147,5,125
KA,Haveri,,21947,644,21301,2,1598506,1,0,1,1,1,2
KA,Kalaburagi,,61926,819,61087,20,2564892,3,0,0,9,0,5
KA,Kodagu,,37095,329,36616,150,554762,11,0,7,112,0,67
KA,Kolar,,46916,638,46266,12,1540231,2,0,5,18,3,31
KA,Koppal,,35198,521,34660,17,1391292,0,0,0,1,0,5
KA,Mandya,,73753,650,73029,74,1808680,8,0,2,48,0,36
KA,Mysuru,,179167,2416,176447,304,2994744,33,2,34,234,7,247
KA,Other State,,36,3,33,0,0,0,0,0,0,0,0
KA,Raichur,,39973,331,39641,1,1924773,0,0,1,1,0,4
KA,Ramanagara,,24204,320,23869,15,1082739,0,0,0,8,2,10
KA,Shivamogga,,69444,1088,68239,117,1755512,3,0,0,30,0,66
KA,Tumakuru,,120836,1127,119420,289,2681449,17,0,12,136,1,112
KA,Udupi,,76718,489,76181,48,1177908,2,0,6,49,0,75
KA,Uttara Kannada,,56218,766,55339,113,1353299,6,0,4,66,0,48
KA,Vijayapura,,36267,495,35764,8,2175102,0,0,0,2,0,2
KA,Yadgir,,27545,207,27337,1,1172985,0,0,0,0,0,2
KL,Alappuzha,,316160,1862,313515,783,2121943,270,1,455,2035,228,2526
KL,Ernakulam,,602800,3555,583842,15403,3279860,1046,11,918,7647,742,8539
KL,Idukki,,147118,519,140292,6307,1107453,550,1,195,2876,71,1866
KL,Kannur,,275264,2325,269475,3464,2525637,304,0,451,2611,301,3143
KL,Kasaragod,,138815,617,134824,3374,1302600,137,0,147,1054,31,1082
KL,Kollam,,390872,2451,383923,4498,2629703,592,0,848,4753,161,6283
KL,Kottayam,,322484,1356,315759,5369,1979384,506,5,155,4187,101,1611
KL,Kozhikode,,527346,3374,519030,4942,3089543,742,23,760,5386,513,5059
KL,Malappuram,,567584,2576,562111,2897,4110956,334,48,560,2634,108,2929
KL,Palakkad,,373839,2881,364351,6607,2810892,339,16,423,2560,175,2544
KL,Pathanamthitta,,193406,1076,184979,7351,1195537,447,2,406,2953,122,2635
KL,Thiruvananthapuram,,463977,4996,448304,10677,3307284,878,1,754,7056,118,4851
KL,Thrissur,,523260,3575,515481,4204,3110327,753,59,38,5751,388,3647
KL,Wayanad,,125732,518,121295,3919,816558,269,0,329,1823,30,1691
LA,Kargil,,3619,58,3556,5,143000,0,0,0,4,0,0
LA,Leh,,17343,150,17131,62,147000,11,0,9,54,0,28
LD,Lakshadweep,,10365,51,10270,44,64473,0,0,0,0,0,0
MH,Ahmednagar,,339457,7043,330122,2292,4543083,138,2,11,866,26,728
MH,Akola,,58764,1425,57318,21,1818617,0,0,1,3,0,7
MH,Amravati,,96231,1594,94618,19,2887826,1,0,0,3,0,0
MH,Aurangabad,,155331,4251,150615,465,3695928,27,0,0,156,1,157
MH,Beed,,103749,2806,100803,140,2585962,12,0,7,69,5,35
MH,Bhandara,,60080,1123,58945,12,1198810,0,0,0,0,0,1
MH,Buldhana,,85520,797,84710,13,2588039,3,0,1,16,1,16
MH,Chandrapur,,88968,1560,87387,21,2194262,2,0,0,7,0,0
MH,Dhule,,46172,654,45501,17,2048781,0,0,0,5,0,4
MH,Gadchiroli,,30440,669,29735,36,1071795,0,0,0,2,0,5
MH,Gondia,,40519,569,39941,9,1322331,0,0,0,2,0,3
MH,Hingoli,,18475,506,17949,20,1178973,0,0,0,0,0,3
MH,Jalgaon,,139934,2714,137178,42,4224442,0,0,2,4,0,11
MH,Jalna,,60615,1209,59382,24,1958483,0,0,0,15,0,47
MH,Kolhapur,,206671,5847,200699,125,3874015,12,0,5,55,2,115
MH,Latur,,92133,2437,89608,88,2455543,5,1,0,39,3,0
MH,Mumbai,,756749,16247,733318,7184,12442373,308,3,429,2242,34,2604
MH,Nagpur,,493607,9128,484334,145,4653171,4,0,5,35,0,43
MH,Nanded,,90409,2658,87721,30,3356566,2,0,3,28,0,22
MH,Nandurbar,,40006,948,39054,4,1646177,0,0,0,2,0,1
MH,Nashik,,410681,8679,401418,584,6109052,60,3,32,456,12,519
MH,Osmanabad,,67828,1963,65577,288,1660311,16,0,3,89,1,154
MH,Other State,,144,111,31,2,0,0,0,0,0,0,0
MH,Palghar,,138013,3282,134309,422,2990116,28,0,6,204,0,326
MH,Parbhani,,52362,1233,51078,51,1835982,0,0,1,13,1,9
MH,Pune,,1154776,19594,1131401,3781,9426959,245,0,300,1536,20,5294
MH,Raigad,,195958,4551,190759,648,2635394,26,0,34,267,10,359
MH,Ratnagiri,,78950,2478,76292,180,1612672,8,0,14,91,4,160
MH,Sangli,,209771,5613,203673,485,2820575,19,0,0,155,4,375
MH,Satara,,250414,6428,243482,504,3003922,35,1,4,157,17,501
MH,Sindhudurg,,52783,1434,50987,362,848868,12,0,6,91,4,259
MH,Solapur,,210466,5551,204364,551,4315527,51,4,7,253,11,370
MH,Thane,,610128,11462,597141,1525,11060148,153,6,525,1241,44,3002
MH,Wardha,,57344,1217,55956,171,1296157,2,0,2,5,0,4
MH,Washim,,41663,637,41020,6,1196714,1,0,0,4,0,5
MH,Yavatmal,,75967,1798,74159,10,2775457,2,0,1,6,0,7
ML,East Garo Hills,,1867,13,1844,10,317618,0,0,1,5,0,2
ML,East Jaintia Hills,,2430,31,2395,4,122436,0,0,0,2,0,3
ML,East Khasi Hills,,41025,987,39754,284,824059,14,1,18,171,2,286
ML,North Garo Hills,,1685,8,1674,3,118325,1,0,0,3,0,2
ML,Ribhoi,,9697,89,9584,24,258380,1,0,3,14,0,23
ML,South Garo Hills,,1216,12,1203,1,142574,0,0,0,0,0,1
ML,South West Garo Hills,,1872,17,1852,3,172495,0,0,1,3,0,3
ML,South West Khasi Hills,,2548,17,2525,6,110152,0,0,0,6,0,1
ML,West Garo Hills,,9027,72,8943,12,642923,3,0,1,8,0,11
ML,West Jaintia Hills,,6803,133,6642,28,270352,1,0,0,11,2,31
ML,West Khasi Hills,,5457,71,5330,56,385601,2,0,27,33,0,97
MN,Bishnupur,,0,0,0,0,240363,0,0,0,0,0,0
MN,Chandel,,0,0,0,0,144028,0,0,0,0,0,0
MN,Churachandpur,,0,0,0,0,271274,0,0,0,0,0,0
MN,Imphal East,,0,0,0,0,452661,0,0,0,0,0,0
MN,Imphal West,,0,0,0,0,514683,0,0,0,0,0,0
MN,Jiribam,,0,0,0,0,43818,0,0,0,0,0,0
MN,Kakching,,0,0,0,0,135481,0,0,0,0,0,0
MN,Kamjong,,0,0,0,0,45616,0,0,0,0,0,0
MN,Kangpokpi,,0,0,0,0,0,0,0,0,0,0,0
MN,Noney,,0,0,0,0,0,0,0,0,0,0,0
MN,Pherzawl,,0,0,0,0,47250,0,0,0,0,0,0
MN,Senapati,,0,0,0,0,354772,0,0,0,0,0,0
MN,Tamenglong,,0,0,0,0,140143,0,0,0,0,0,0
MN,Tengnoupal,,0,0,0,0,0,0,0,0,0,0,0
MN,Thoubal,,0,0,0,0,420517,0,0,0,0,0,0
MN,Ukhrul,,0,0,0,0,183115,0,0,0,0,0,0
MN,Unknown,,123731,1921,121102,708,0,63,1,62,439,10,652
MP,Agar Malwa,,3303,68,3235,0,0,0,0,0,0,0,0
MP,Alirajpur,,3505,48,3453,4,728677,0,0,0,0,0,0
MP,Anuppur,,9238,89,9140,9,749521,0,0,0,0,0,0
MP,Ashoknagar,,3670,57,3613,0,844979,0,0,0,0,0,0
MP,Balaghat,,9100,64,9017,19,1701156,2,0,0,2,0,0
MP,Barwani,,8366,90,8267,9,1385659,0,0,0,0,0,0
MP,Betul,,12905,277,12590,38,1575247,0,0,0,1,0,0
MP,Bhind,,2995,32,2960,3,1703562,0,0,0,0,0,0
MP,Bhopal,,123552,972,122121,459,2368145,2,0,0,38,0,0
MP,Burhanpur,,2568,39,2529,0,756993,0,0,0,0,0,0
MP,Chhatarpur,,7609,91,7506,12,1762857,0,0,0,0,0,0
MP,Chhindwara,,6734,120,6612,2,2090306,0,0,0,2,0,0
MP,Damoh,,8120,186,7841,93,1263703,0,0,0,0,0,0
MP,Datia,,6959,78,6874,7,786375,0,0,0,0,0,0
MP,Dewas,,7723,51,7672,0,1563107,0,0,0,0,0,0
MP,Dhar,,12572,130,12388,54,2184672,1,0,0,7,0,0
MP,Dindori,,4623,29,4588,6,704218,0,0,0,0,0,0
MP,Guna,,5132,44,5085,3,1240938,0,0,0,0,0,0
MP,Gwalior,,53106,633,52427,46,2030543,0,0,0,2,0,0
MP,Harda,,5055,96,4954,5,570302,0,0,0,0,0,0
MP,Hoshangabad,,10688,99,10570,19,1240975,0,0,0,0,0,0
MP,Indore,,153230,1391,151410,429,3272335,8,0,0,39,0,0
MP,Jabalpur,,50779,670,49896,213,2460714,0,0,0,3,0,0
MP,Jhabua,,7691,64,7619,8,1024091,0,0,0,1,0,0
MP,Katni,,9366,120,9242,4,1291684,0,0,0,0,0,0
MP,Khandwa,,4044,94,3946,4,1309443,0,0,0,0,0,0
MP,Khargone,,13970,239,13716,15,1872413,0,0,0,0,0,0
MP,Mandla,,5188,25,5159,4,1053522,0,0,0,0,0,0
MP,Mandsaur,,8637,84,8552,1,1339832,0,0,0,0,0,0
MP,Morena,,8236,95,8135,6,1965137,0,0,0,0,0,0
MP,Narsinghpur,,11209,81,11115,13,1092141,0,0,0,5,0,0
MP,Neemuch,,7926,84,7828,14,825958,0,0,0,0,0,0
MP,Niwari,,3715,48,3654,13,0,0,0,0,0,0,0
MP,Panna,,7331,63,7250,18,1016028,0,0,0,0,0,0
MP,Raigarh,,1,0,0,1,0,0,0,0,0,0,0
MP,Raisen,,9238,194,9030,14,1331699,0,0,0,0,0,0
MP,Rajgarh,,8729,172,8490,67,1546541,1,0,0,1,0,0
MP,Ratlam,,17860,385,17438,37,1454483,0,0,0,0,0,0
MP,Rewa,,16433,155,16270,8,2363744,0,0,0,0,0,0
MP,Sagar,,16622,390,16154,78,2378295,2,0,0,2,0,0
MP,Satna,,11965,133,11829,3,2228619,0,0,0,0,0,0
MP,Sehore,,10136,73,10057,6,1311008,0,0,0,0,0,0
MP,Seoni,,6775,28,6739,8,1378876,0,0,0,0,0,0
MP,Shahdol,,10085,118,9958,9,1064989,0,0,0,0,0,0
MP,Shajapur,,6349,74,6273,2,1512353,0,0,0,0,0,0
MP,Sheopur,,4000,78,3919,3,687952,0,0,0,0,0,0
MP,Shivpuri,,12398,125,12261,12,1725818,0,0,0,0,0,0
MP,Sidhi,,9219,87,9132,0,1126515,0,0,0,0,0,0
MP,Singrauli,,8801,82,8706,13,1178132,0,0,0,1,0,0
MP,Tikamgarh,,6863,114,6742,7,1444920,0,0,0,0,0,0
MP,Ujjain,,18903,172,18720,11,1986864,0,0,0,1,0,0
MP,Umaria,,6294,63,6224,7,643579,0,0,0,0,0,0
MP,Unknown,,1416,1493,1632,-1709,0,0,0,8,0,1,74
MP,Vidisha,,11922,237,11677,8,1458212,0,0,0,0,0,0
MZ,Aizawl,,75111,300,71337,3474,404054,361,1,365,1996,6,3014
MZ,Champhai,,5188,11,4745,432,125370,33,0,40,299,3,319
MZ,Hnahthial,,1020,3,857,160,0,1,0,29,143,0,185
MZ,Khawzawl,,733,0,688,45,0,2,0,0,42,0,26
MZ,Kolasib,,7721,30,7561,130,83054,10,0,2,94,0,154
MZ,Lawngtlai,,6740,23,6553,164,117444,14,0,13,98,1,245
MZ,Lunglei,,9842,27,9053,762,154094,71,0,36,662,1,507
MZ,Mamit,,4854,12,4448,394,85757,19,0,0,241,5,265
MZ,Saiha,,5469,14,5304,151,56366,0,1,37,107,5,345
MZ,Saitual,,471,2,420,49,0,3,0,21,30,0,53
MZ,Serchhip,,4210,10,3646,554,64875,65,0,67,386,0,572
NL,Dimapur,,14684,421,13471,792,379769,3,1,13,68,2,73
NL,Kiphire,,258,9,246,3,74033,0,0,0,2,0,1
NL,Kohima,,9461,123,9095,243,270063,4,0,0,23,0,24
NL,Longleng,,307,2,286,19,50593,0,0,0,0,0,7
NL,Mokokchung,,2333,54,2186,93,193171,3,0,2,23,2,5
NL,Mon,,1159,14,1124,21,259604,0,0,0,1,0,0
NL,Peren,,920,6,897,17,163294,0,0,0,1,0,1
NL,Phek,,601,18,568,15,163294,0,0,0,4,0,1
NL,Tuensang,,1094,12,1077,5,414801,1,0,6,2,1,28
NL,Wokha,,402,11,361,30,166239,0,0,0,6,0,4
NL,Zunheboto,,623,15,593,15,141014,0,0,0,0,1,0
OR,Angul,,43920,393,43506,21,1271703,1,0,3,16,2,20
OR,Balangir,,23397,126,23257,14,1648574,0,0,0,4,0,15
OR,Balasore,,40787,299,40389,99,2317419,5,0,14,67,1,80
OR,Bargarh,,31126,335,30762,29,1478833,0,0,1,18,0,16
OR,Bhadrak,,26480,150,26260,70,1506522,3,0,7,44,1,39
OR,Boudh,,12634,112,12488,34,439917,0,0,0,0,0,4
OR,Cuttack,,94631,857,93404,370,2618708,54,0,29,277,1,304
OR,Deogarh,,6553,50,6460,43,312164,2,0,3,41,0,10
OR,Dhenkanal,,19871,243,19598,30,1192948,5,0,0,25,0,16
OR,Gajapati,,9657,84,9555,18,575880,5,0,0,15,0,11
OR,Ganjam,,33849,485,33342,22,3520151,8,0,2,22,0,18
OR,Jagatsinghpur,,27920,316,27510,94,1136604,9,0,12,76,1,78
OR,Jajpur,,43735,172,43461,102,1826275,9,0,8,75,0,73
OR,Jharsuguda,,23863,176,23673,14,579499,3,0,0,13,0,10
OR,Kalahandi,,24314,210,24082,22,1573054,2,0,0,15,0,1
OR,Kandhamal,,11537,83,11453,1,731952,0,0,0,0,0,5
OR,Kendrapara,,24860,252,24545,63,1439891,8,0,8,62,1,52
OR,Kendujhar,,20980,175,20798,7,1802777,1,0,2,4,2,3
OR,Khordha,,175335,1552,171938,1845,2246341,250,2,243,1492,8,1654
OR,Koraput,,19137,78,19044,15,1376934,1,0,2,11,0,20
OR,Malkangiri,,11667,49,11613,5,612727,0,0,3,2,0,4
OR,Mayurbhanj,,40844,286,40416,142,2513895,19,1,8,126,5,93
OR,Nabarangapur,,23549,86,23461,2,1218762,0,0,0,1,0,2
OR,Nayagarh,,23505,212,23261,32,962215,2,0,3,28,1,24
OR,Nuapada,,22924,84,22803,37,606490,1,0,3,36,0,5
OR,Puri,,45431,459,44903,69,1697983,15,1,7,68,1,69
OR,Rayagada,,20224,167,19981,76,961959,6,0,3,18,0,16
OR,Sambalpur,,31651,240,31315,96,1044410,13,0,24,88,0,113
OR,State Pool,,32048,0,31587,461,0,53,0,57,338,0,401
OR,Subarnapur,,13187,61,13115,11,652107,0,0,0,5,0,3
OR,Sundargarh,,61841,594,61167,80,2080664,13,0,8,59,0,71
PB,Amritsar,,47379,1598,45757,24,2490891,4,0,1,23,2,9
PB,Barnala,,5950,244,5696,10,596294,0,0,0,2,0,0
PB,Bathinda,,41728,1042,40668,18,1388859,1,0,0,15,0,8
PB,Faridkot,,13927,315,13602,10,618008,1,0,1,7,0,7
PB,Fatehgarh Sahib,,8876,335,8538,3,599814,0,0,0,2,1,1
PB,Fazilka,,20271,528,19729,14,1180483,1,0,1,8,0,4
PB,Ferozepur,,14347,504,13832,11,2026831,4,0,3,13,0,9
PB,Gurdaspur,,22381,801,21576,4,2299026,0,0,0,3,1,3
PB,Hoshiarpur,,30822,986,29828,8,1582793,2,1,2,10,2,12
PB,Jalandhar,,63396,1496,61864,36,2181753,1,0,1,20,1,12
PB,Kapurthala,,17852,556,17294,2,817668,0,0,0,2,0,7
PB,Ludhiana,,87608,2106,85484,18,3487882,0,0,4,16,1,24
PB,Mansa,,15606,380,15226,0,768808,0,0,0,0,0,1
PB,Moga,,8675,233,8440,2,992289,0,0,0,1,0,8
